directory,distance,energy
GC1,0.9364791103524179,-3972.699023
GC2,1.0827689464929624,-4079.256134
GC3,1.2290751348286348,-4119.292635
GC4,1.3753924570173044,-4135.613623
GC5,1.5217177014110372,-4142.711302
GC6,1.6680487831465864,-4145.762162
GC7,1.814384289870106,-4147.168374
GC8,1.9607232308257103,-4147.836038
GC9,2.1070648904752076,-4147.921419
GC10,2.253408739143547,-4147.93531
GC11,2.3997543763529725,-4147.888074
GC12,2.5461014936964905,-4147.624271
GC13,2.6924498498176863,-4147.530066
GC14,2.838799253128791,-4147.413002
GC15,2.985149549611779,-4147.153672
GC16,3.131500614039819,-4147.124186
GC17,3.2778523435502147,-4147.01591
GC18,3.424204652865396,-4146.815163
GC19,3.5705574706891294,-4146.848931
GC20,3.716910736954063,-4146.744141
GC21,3.863264400694878,-4146.606877
GC22,4.0096184183871975,-4146.673055
GC23,4.155972752637445,-4146.563065
GC24,4.302327371140113,-4146.485422
GC25,4.4486822458408355,-4146.558884
GC26,4.595037352259396,-4146.445225
GC27,4.74139266893812,-4146.419026
GC28,4.887748176989356,-4146.484372
GC29,5.034103859721899,-4146.372464
GC30,5.180459702330731,-4146.385519
GC31,5.326815691637905,-4146.433531
GC32,5.473171815875008,-4146.328991
GC33,5.6195280644996135,-4146.369372
GC34,5.765884428039686,-4146.393101
GC35,5.912240897961096,-4146.302631
GC36,6.058597466554339,-4146.361006
GC37,6.204954126837281,-4146.358647
GC38,6.351310872471356,-4146.284962
GC39,6.49766769768909,-4146.353747
GC40,6.644024597231195,-4146.326727
